10,684
11,774
12,954
13,1052
14,1175
15,1335
16,1507
17,1666
18,1828
19,2037
20,2241
21,2419
22,2638
23,2865
24,3122
25,3335
26,3551
27,3818
28,4084
29,4440
30,4657
31,4959
32,5254
33,5582
34,5935
35,6794
36,6558
37,6910
38,7253
39,7662
40,8002
41,8412
42,8775
43,9189
44,9690
45,10026
46,10505
47,10967
48,11353
49,11920
50,12325
51,12963
52,14315
53,13802
54,14246
55,14771
56,15274
57,15909
58,16372
59,16991
60,17499
61,18535
62,18688
63,19371
64,19971
65,20563
66,21073
67,21770
68,22401
69,23081
70,23792
71,24291
72,25121
73,25633
74,26356
75,27084
76,27701
77,28641
78,29376
79,30131
80,30634
81,31961
82,32121
83,32998
84,33846
85,34571
86,35382
87,36170
88,36998
89,39479
90,38585
91,39541
92,40180
93,41232
94,42386
95,42914
96,43787
97,44730
98,45672
99,46659
100,47486
101,48755
102,49144
103,50356
104,51114
105,52331
106,53264
107,54564
108,55629
109,57037
110,57256
111,62920
112,62957
113,67918
114,71781
115,67114
116,66428
117,63798
118,65269
119,66283
120,67268
121,68380
122,69712
123,70406
124,71789
125,72862
126,73777
127,74904
128,76349
129,77150
130,78742
131,80984
132,80950
133,82126
134,83463
135,84592
136,85881
137,86998
138,88731
139,89758
140,91063
141,92405
142,93289
143,95326
144,95832
145,97689
146,98940
147,99951
148,101889
149,105434
150,104227
151,105165
152,107050
153,108996
154,110463
155,111412
156,113671
157,115616
158,115527
159,116696
160,118728
161,120211
162,121237
163,124093
164,124666
165,128494
166,127384
167,128831
168,130351
169,132797
170,133741
171,136095
172,137475
173,138445
174,140243
175,141829
176,144200
177,144935
178,146414
179,148496
180,149615
181,151318
182,153716
183,155436
184,156192
185,159822
186,160169
187,161371
188,163805
189,165294
190,166590
191,169319
192,170480
193,172397
194,174951
195,175926
196,179059
197,180266
198,181150
199,183217
